episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
301,640.0,493,173905,0.1,0.18221623762472858,895.5713665829971,True,False
302,460.0,480,174385,0.1,0.1750515286810696,898.3914594579983,True,False
303,760.0,658,175043,0.1,0.1815028367791234,901.3889204169973,True,False
304,380.0,394,175437,0.1,0.17262770130176736,903.5058222499974,True,False
305,480.0,498,175935,0.1,0.19027162564077205,906.1228189579997,True,False
306,510.0,539,176474,0.1,0.15726661155069316,908.7381960419989,True,False
307,660.0,528,177002,0.1,0.16741245697167786,911.5568536249993,True,False
308,470.0,570,177572,0.1,0.18048427897420796,914.4951633749988,True,False
309,1440.0,829,178401,0.1,0.15744962290397302,918.7104589169976,True,False
310,540.0,518,178919,0.1,0.15118717093222825,921.4444146249989,True,False
311,1300.0,585,179504,0.1,0.152204622419513,924.5140191249993,True,False
312,570.0,467,179971,0.1,0.18169687733311077,927.0248289579977,True,False
313,1330.0,875,180846,0.1,0.14620967648208957,931.955925541999,True,False
314,1550.0,1088,181934,0.1,0.1535993254442206,937.5902806249978,True,False
315,340.0,428,182362,0.1,0.15741037695764382,939.8674062499995,True,False
316,760.0,582,182944,0.1,0.19053343322434246,942.7807675419972,True,False
317,720.0,584,183528,0.1,0.16613996250886623,945.7877702080004,True,False
318,210.0,306,183834,0.1,0.14469063220741718,948.1268732079989,True,False
319,520.0,571,184405,0.1,0.1510903193921476,951.1459909169971,True,False
320,500.0,466,184871,0.1,0.1404399761994337,953.2063433749972,True,False
321,1220.0,685,185556,0.1,0.1675190098020573,957.2867144579977,True,False
322,870.0,811,186367,0.1,0.1809923508859212,961.3500355420001,True,False
323,400.0,467,186834,0.1,0.17149494917920002,963.9695737919974,True,False
324,1280.0,985,187819,0.1,0.1630226412439734,969.5716222919982,True,False
325,1250.0,908,188727,0.1,0.1556139158060372,974.4772420419977,True,False
326,510.0,407,189134,0.1,0.16475456470952315,978.1409411669993,True,False
327,500.0,431,189565,0.1,0.18742529789192808,980.1630125829979,True,False
328,1150.0,873,190438,0.1,0.17275021225214005,985.6597559580005,True,False
